Test #,Section,Test Case,Steps,Expected Result,Status (Pass/Fail/Blocked/N/A),Severity,Tested By,Date Tested,Notes
,,,,,,,,,"SALDANA & SONS - ToolTime Pro Beta Tester Checklist (175 Test Cases)"
,,,,,,,,,"Instructions: Fill in Status column as you test. Use Pass / Fail / Blocked / N/A. Add notes for any failures."
,,,,,,,,,
1.1,Account & Login,Sign up with company name,"Go to /auth/signup, enter ""Saldana & Sons"" as company, fill all fields","Account created, confirmation email sent",,Medium,,,
1.2,Account & Login,Email confirmation,Click confirmation link in email,"Email verified, redirected to login",,High,,,
1.3,Account & Login,Login with valid credentials,"Go to /auth/login, enter valid email/password",Redirected to /dashboard,,Critical,,,
1.4,Account & Login,Login with wrong password,"Enter valid email, wrong password","Error message displayed, not logged in",,Medium,,,
1.5,Account & Login,Login with unregistered email,Enter email not in system,Appropriate error message,,Medium,,,
1.6,Account & Login,Forgot password flow,"Click ""Forgot Password"", enter email",Reset email received with valid link,,High,,,
1.7,Account & Login,Reset password,"Use reset link, enter new password","Password updated, can login with new password",,High,,,
1.8,Account & Login,Session persistence,"Login, close browser, reopen app",User remains logged in,,Medium,,,
1.9,Account & Login,Logout,Click logout from dashboard,"Session ended, redirected to login",,Medium,,,
1.10,Account & Login,Auth timeout handling,Wait for session to near expiry,Session refreshes automatically or prompts re-login,,Medium,,,
,,,,,,,,,
2.1,Dashboard Overview,Dashboard loads,Login and view /dashboard,Dashboard loads with stats cards,,Critical,,,
2.2,Dashboard Overview,Today's jobs count,"Check ""Today's Jobs"" card",Shows correct count of jobs for today,,High,,,
2.3,Dashboard Overview,New leads count,"Check ""New Leads"" card",Shows accurate lead count,,High,,,
2.4,Dashboard Overview,Pending quotes,"Check ""Pending Quotes"" card",Shows correct number of unsent/draft quotes,,High,,,
2.5,Dashboard Overview,Unpaid invoices,"Check ""Unpaid Invoices"" card",Shows correct unpaid invoice count,,High,,,
2.6,Dashboard Overview,Monthly revenue,Check revenue display,Shows accurate revenue for current month,,High,,,
2.7,Dashboard Overview,Navigation sidebar,Click each nav item in sidebar,Each link navigates to correct page,,Critical,,,
2.8,Dashboard Overview,Dashboard data refresh,"Create a new job, return to dashboard",Stats update to reflect new data,,Medium,,,
2.9,Dashboard Overview,Mobile responsiveness,View dashboard on phone screen,"Layout adapts, all data visible",,Medium,,,
,,,,,,,,,
3.1,Worker App (Mobile),Worker login page,Navigate to /worker/login,"Login form appears, mobile-optimized",,Critical,,,
3.2,Worker App (Mobile),Worker PIN login,Enter worker PIN,"Worker authenticated, sees worker dashboard",,Critical,,,
3.3,Worker App (Mobile),View assigned jobs,"After login, check job list",Only jobs assigned to this worker appear,,High,,,
3.4,Worker App (Mobile),Job detail view,Tap on a job,"Full job details display (customer, address, services, notes)",,High,,,
3.5,Worker App (Mobile),Update job status,"Change job from ""scheduled"" to ""in_progress""",Status updates and persists,,High,,,
3.6,Worker App (Mobile),Complete a job,"Mark job as ""completed""","Job moves to completed, timestamp recorded",,High,,,
3.7,Worker App (Mobile),Upload job photos,Take/upload a photo from job site,Photo uploads and appears in job record,,Medium,,,
3.8,Worker App (Mobile),Worker timeclock,Navigate to /worker/timeclock,Clock in/out interface loads,,Critical,,,
3.9,Worker App (Mobile),Worker time history,Navigate to /worker/time,Shows past time entries for this worker,,Medium,,,
3.10,Worker App (Mobile),Worker profile,Navigate to /worker/profile,Worker profile information displays correctly,,Low,,,
3.11,Worker App (Mobile),Safety incident report,"Navigate to /worker/safety, submit incident",Incident report created and saved,,High,,,
3.12,Worker App (Mobile),Mobile layout,Test all worker pages on phone,"All pages usable, no horizontal scroll",,Medium,,,
,,,,,,,,,
4.1,Time Tracking & Clock In/Out,Clock in,"Click ""Clock In"" on timeclock","Time entry starts, GPS location captured",,Critical,,,
4.2,Time Tracking & Clock In/Out,GPS location recorded,Clock in with location enabled,Location coordinates saved with entry,,High,,,
4.3,Time Tracking & Clock In/Out,Clock out,"Click ""Clock Out"" after working","Time entry ends, total hours calculated",,Critical,,,
4.4,Time Tracking & Clock In/Out,Start a break,"Click ""Start Break"" during shift","Break timer begins, type recorded (meal/rest)",,High,,,
4.5,Time Tracking & Clock In/Out,End a break,"Click ""End Break""",Break duration logged,,High,,,
4.6,Time Tracking & Clock In/Out,Meal break compliance,Work 5+ hours without 30-min meal break,Compliance alert generated,,High,,,
4.7,Time Tracking & Clock In/Out,Rest break compliance,Work 3.5+ hours without 10-min rest break,Compliance alert generated,,High,,,
4.8,Time Tracking & Clock In/Out,Overtime detection,Log 8+ hours in a day,Overtime (1.5x) flagged after 8 hours,,High,,,
4.9,Time Tracking & Clock In/Out,Double-time detection,Log 12+ hours in a day,Double-time (2x) flagged after 12 hours,,Medium,,,
4.10,Time Tracking & Clock In/Out,Weekly overtime,Log 40+ hours in a week,Weekly overtime flagged,,Medium,,,
4.11,Time Tracking & Clock In/Out,View time log history,Navigate to /dashboard/time-logs,All past entries display with hours/breaks,,Medium,,,
4.12,Time Tracking & Clock In/Out,Edit time entry (admin),"As admin, edit a worker's time entry",Entry updates correctly,,Medium,,,
4.13,Time Tracking & Clock In/Out,Multiple clock-ins prevented,Try to clock in while already clocked in,System prevents duplicate clock-in,,High,,,
,,,,,,,,,
5.1,Jobs & Scheduling,Create a new job,"Go to /dashboard/jobs, click ""New Job""",Job creation form opens,,Critical,,,
5.2,Jobs & Scheduling,Fill job details,"Enter customer, address, services, date/time",All fields accept input,,High,,,
5.3,Jobs & Scheduling,Save job,Submit the job form,Job saved and appears in job list,,Critical,,,
5.4,Jobs & Scheduling,Assign worker to job,Select a Saldana & Sons worker for the job,Worker appears in assignments,,High,,,
5.5,Jobs & Scheduling,Assign multiple workers,Add 2+ workers to the same job,All workers listed on job,,Medium,,,
5.6,Jobs & Scheduling,View job list,Browse /dashboard/jobs,All company jobs listed with status,,High,,,
5.7,Jobs & Scheduling,Filter jobs by status,Filter by scheduled/in_progress/completed,Only matching jobs shown,,Medium,,,
5.8,Jobs & Scheduling,Edit job details,"Open existing job, modify fields, save",Changes persisted,,High,,,
5.9,Jobs & Scheduling,Cancel a job,"Change job status to ""cancelled""","Job marked cancelled, workers notified",,Medium,,,
5.10,Jobs & Scheduling,Add job notes,Add internal notes to a job,Notes saved and visible to team,,Medium,,,
5.11,Jobs & Scheduling,Job checklist,Add checklist items to a job,"Items appear, can be marked complete",,Medium,,,
5.12,Jobs & Scheduling,Complete checklist items,Check off items on job checklist,Items show as completed,,Medium,,,
5.13,Jobs & Scheduling,Job photos,Upload before/during/after photos,Photos display in job record,,Medium,,,
5.14,Jobs & Scheduling,Calendar view,Go to /dashboard/schedule,Jobs visible on calendar by date,,High,,,
5.15,Jobs & Scheduling,Drag-and-drop scheduling,Drag a job to a new date on calendar,Job date updates,,Medium,,,
5.16,Jobs & Scheduling,Job number auto-generation,Create a new job,Unique job number assigned automatically,,Low,,,
,,,,,,,,,
6.1,Quotes,Create a new quote,"Go to /dashboard/quotes, click ""New Quote""",Quote form opens,,Critical,,,
6.2,Quotes,Add line items,Add services/items with quantities and prices,Line items display with subtotals,,High,,,
6.3,Quotes,Tax calculation,Verify tax is applied correctly,Tax based on California rate,,High,,,
6.4,Quotes,Quote total,Check total after items + tax,Total calculates correctly,,High,,,
6.5,Quotes,Save as draft,Save quote without sending,"Quote saved with ""draft"" status",,High,,,
6.6,Quotes,Quote number format,Check auto-generated quote number,Format: Q-YYYYMMDD-0001,,Low,,,
6.7,Quotes,Send quote to customer,"Click ""Send"" on a quote",Quote emailed to customer,,Critical,,,
6.8,Quotes,Customer views quote,Open the public quote link,Quote displays correctly (no login needed),,High,,,
6.9,Quotes,Customer approves quote,"Customer clicks ""Approve"" on public quote","Status changes to ""approved""",,Critical,,,
6.10,Quotes,Customer rejects quote,"Customer clicks ""Reject"" on public quote","Status changes to ""rejected""",,High,,,
6.11,Quotes,Edit existing quote,"Open a draft quote, modify, save",Changes persist,,Medium,,,
6.12,Quotes,Delete a quote,Delete a draft quote,Quote removed from list,,Medium,,,
6.13,Quotes,Convert quote to invoice,"Approve a quote, convert to invoice",Invoice created with quote's line items,,Critical,,,
6.14,Quotes,Quote expiration,Check expired quote behavior,"Status shows ""expired"" after expiry date",,Medium,,,
6.15,Quotes,View all quotes,Browse quote list,All quotes listed with status filters,,Medium,,,
,,,,,,,,,
7.1,Invoices & Payments,Create a new invoice,"Go to /dashboard/invoices, click ""New Invoice""",Invoice form opens,,Critical,,,
7.2,Invoices & Payments,Add line items,Add services with pricing,Line items calculated correctly,,High,,,
7.3,Invoices & Payments,Invoice number format,Check auto-generated number,Format: INV-YYYYMMDD-0001,,Low,,,
7.4,Invoices & Payments,Save invoice as draft,Save without sending,"Invoice saved with ""draft"" status",,High,,,
7.5,Invoices & Payments,Send invoice to customer,"Click ""Send""",Invoice emailed to customer,,Critical,,,
7.6,Invoices & Payments,Customer views invoice,Open public invoice link,Invoice displays correctly (no login),,High,,,
7.7,Invoices & Payments,Record payment,Mark invoice as paid,"Status updates to ""paid"", amount recorded",,Critical,,,
7.8,Invoices & Payments,Partial payment,Record partial payment,"Status shows ""partial"", balance remaining",,High,,,
7.9,Invoices & Payments,Overdue invoice,Check invoice past due date,"Status shows ""overdue""",,Medium,,,
7.10,Invoices & Payments,Payment via Stripe,Customer pays through Stripe link,"Payment processed, invoice marked paid",,Critical,,,
7.11,Invoices & Payments,Payment reminder,Trigger payment reminder for unpaid invoice,Reminder sent to customer,,Medium,,,
7.12,Invoices & Payments,Edit draft invoice,Modify a draft invoice,Changes saved,,Medium,,,
7.13,Invoices & Payments,View all invoices,Browse invoice list with filters,"All invoices listed, filters work",,Medium,,,
7.14,Invoices & Payments,Invoice from quote,Create invoice from approved quote,Line items carry over correctly,,High,,,
,,,,,,,,,
8.1,Customer Management,Add a new customer,"Go to /dashboard/customers, click ""Add Customer""",Customer form opens,,High,,,
8.2,Customer Management,Fill customer details,"Enter name, email, phone, address",All fields accept input,,High,,,
8.3,Customer Management,Save customer,Submit the form,Customer saved and appears in list,,High,,,
8.4,Customer Management,View customer list,Browse /dashboard/customers,All company customers listed,,Medium,,,
8.5,Customer Management,Search customers,Use search bar to find customer by name,Matching results appear,,Medium,,,
8.6,Customer Management,Edit customer,"Open customer record, modify details, save",Changes persist,,Medium,,,
8.7,Customer Management,Customer history,View customer's past jobs/quotes/invoices,History displays correctly,,Medium,,,
8.8,Customer Management,Add customer notes,Add internal notes to customer record,Notes saved and visible,,Low,,,
8.9,Customer Management,Customer linked to job,Create a job for an existing customer,Customer info populates on job,,High,,,
8.10,Customer Management,Duplicate prevention,Try adding customer with same email,Warning or prevention of duplicate,,Medium,,,
,,,,,,,,,
9.1,Lead Management,View leads,Go to /dashboard/leads,Lead list loads,,High,,,
9.2,Lead Management,Create a new lead,Add a lead manually,"Lead saved with ""new"" status",,High,,,
9.3,Lead Management,Lead statuses,Change lead through: new > contacted > quoted > won,Each status change persists,,High,,,
9.4,Lead Management,Mark lead as lost,"Change lead status to ""lost""",Lead marked as lost,,Medium,,,
9.5,Lead Management,Assign lead to team member,Assign a lead to a Saldana & Sons worker,Assignment saved,,Medium,,,
9.6,Lead Management,Lead source tracking,"Set source (website, referral, google, phone)",Source recorded on lead,,Medium,,,
9.7,Lead Management,Convert lead to customer,Win a lead and convert to customer record,Customer created from lead data,,High,,,
9.8,Lead Management,Lead follow-up notes,Add follow-up notes to a lead,Notes saved with timestamps,,Low,,,
9.9,Lead Management,Filter/search leads,Filter by status or search by name,Correct results displayed,,Medium,,,
,,,,,,,,,
10.1,Services Catalog,View services,Go to /dashboard/services,Service list loads,,Medium,,,
10.2,Services Catalog,Add a new service,"Create a service (e.g., ""Lawn Mowing"")","Service saved with name and pricing",,High,,,
10.3,Services Catalog,Pricing types,Set pricing as fixed / hourly / per sq ft,Each pricing type accepted,,High,,,
10.4,Services Catalog,Set default duration,Enter default service duration,Duration saved,,Low,,,
10.5,Services Catalog,Deactivate a service,Toggle service to inactive,Service no longer appears in new jobs/quotes,,Medium,,,
10.6,Services Catalog,Reactivate a service,Toggle inactive service back to active,Service available again,,Medium,,,
10.7,Services Catalog,Edit service details,"Modify name, price, or description",Changes persist,,Medium,,,
10.8,Services Catalog,Service in quote,Add a service to a new quote,Service name and price populate correctly,,High,,,
10.9,Services Catalog,Service in job,Add a service to a new job,Service attached to job record,,High,,,
,,,,,,,,,
11.1,Team Management,View team members,Go to /dashboard/team,All team members listed,,High,,,
11.2,Team Management,Invite a new worker,Send team invite via email,Invitation email sent,,Critical,,,
11.3,Team Management,Worker accepts invite,"New worker clicks invite link, sets up account",Worker added to Saldana & Sons account,,Critical,,,
11.4,Team Management,Set worker role,Assign role: Owner / Admin / Worker,"Role saved, permissions applied",,High,,,
11.5,Team Management,Set hourly rate,Enter hourly rate for worker,Rate saved for payroll/costing,,Medium,,,
11.6,Team Management,View team calendar,Check calendar view with team assignments,Workers' jobs visible on calendar,,Medium,,,
11.7,Team Management,Deactivate team member,Deactivate a worker,"Worker can no longer login, not available for assignments",,High,,,
11.8,Team Management,Edit team member,Modify worker details,Changes persist,,Medium,,,
11.9,Team Management,Role-based access,"Login as Worker role, check restricted pages",Worker cannot access admin-only features,,Critical,,,
11.10,Team Management,Owner permissions,Login as Owner role,Full access to all features,,Critical,,,
,,,,,,,,,
12.1,Reviews (Jenny Reviews),Review dashboard,Go to /dashboard/reviews,Review management page loads,,Medium,,,
12.2,Reviews (Jenny Reviews),Send review request,"After completing a job, send SMS review request",Customer receives SMS with review link,,High,,,
12.3,Reviews (Jenny Reviews),Review request tracking,Check sent review requests,Shows sent/clicked/completed status,,Medium,,,
12.4,Reviews (Jenny Reviews),AI review response,Generate AI response to a review,Professional response generated,,Medium,,,
12.5,Reviews (Jenny Reviews),Negative review handling,Generate response for a negative review,"Tactful, professional response created",,Medium,,,
12.6,Reviews (Jenny Reviews),Review metrics,View review stats on dashboard,"Metrics display (sent, response rate, etc.)",,Low,,,
,,,,,,,,,
13.1,Smart Quoting (Jenny Quotes),Smart quote page,Go to /dashboard/smart-quote,AI quoting interface loads,,High,,,
13.2,Smart Quoting (Jenny Quotes),Photo-based quote,Upload a photo of a job site,"AI analyzes photo, suggests line items",,High,,,
13.3,Smart Quoting (Jenny Quotes),Text-based quote,Describe a job in text,AI generates quote with appropriate items,,High,,,
13.4,Smart Quoting (Jenny Quotes),Market-rate pricing,Check suggested prices,Prices align with market rates for the area,,Medium,,,
13.5,Smart Quoting (Jenny Quotes),Edit AI suggestions,Modify AI-suggested line items,"Changes applied, totals recalculated",,Medium,,,
13.6,Smart Quoting (Jenny Quotes),Save smart quote,Save AI-generated quote,Quote saved to quote list,,High,,,
13.7,Smart Quoting (Jenny Quotes),Send smart quote,Send the AI-generated quote to customer,Quote delivered via email,,High,,,
,,,,,,,,,
14.1,AI Chatbot (Jenny Lite),Chatbot config page,Go to /dashboard/jenny-lite,Configuration page loads,,Medium,,,
14.2,AI Chatbot (Jenny Lite),Chatbot widget,View chatbot on customer-facing page,Chat widget appears and responds,,High,,,
14.3,AI Chatbot (Jenny Lite),FAQ responses,Ask common service questions,Bot provides relevant answers,,Medium,,,
14.4,AI Chatbot (Jenny Lite),Lead capture,"Provide name, phone, service need via chat",Lead created in system,,High,,,
14.5,AI Chatbot (Jenny Lite),Appointment booking,Request booking through chatbot,Appointment suggestion or booking created,,Medium,,,
14.6,AI Chatbot (Jenny Lite),Lead notification,New lead captured via chatbot,Notification sent to Saldana & Sons team,,Medium,,,
,,,,,,,,,
15.1,Compliance & Shield Tools,Shield dashboard,Go to /dashboard/shield,Compliance tools hub loads,,Medium,,,
15.2,Compliance & Shield Tools,Worker classification,Use ABC test tool,Interactive quiz determines employee vs. contractor,,High,,,
15.3,Compliance & Shield Tools,Penalty calculator,"Go to penalty calculator, enter scenario",Waiting time penalties calculated correctly,,High,,,
15.4,Compliance & Shield Tools,Final wage rules,Check final wage guide,Correct payment deadlines shown by termination type,,Medium,,,
15.5,Compliance & Shield Tools,AB5 checklist,Go through AB5 compliance checklist,"All items listed, can be checked/tracked",,Medium,,,
15.6,Compliance & Shield Tools,Compliance alerts,View compliance alerts from time tracking,Meal/rest break violations shown,,High,,,
15.7,Compliance & Shield Tools,HR toolkit,Go to /dashboard/hr-toolkit,HR resources and templates available,,Low,,,
15.8,Compliance & Shield Tools,Compliance tracking,Go to /dashboard/compliance,Overall compliance status visible,,Medium,,,
,,,,,,,,,
16.1,Booking System,Booking page,Navigate to /book/{companyId} for Saldana & Sons,Booking form loads (no login needed),,High,,,
16.2,Booking System,Select service,Choose from available services,Service selected with pricing shown,,High,,,
16.3,Booking System,Select date/time,Pick an available time slot,"Slot highlighted, conflict check works",,High,,,
16.4,Booking System,Enter contact info,"Fill in customer name, phone, email, address",All fields accept input,,Medium,,,
16.5,Booking System,Submit booking,Complete booking form,"Confirmation shown, job/lead created",,Critical,,,
16.6,Booking System,Booking appears in dashboard,Check jobs/leads in dashboard,New booking visible to Saldana & Sons team,,High,,,
16.7,Booking System,Booking management,Go to /dashboard/booking,Bookings listed and manageable,,Medium,,,
,,,,,,,,,
17.1,Website Builder,Website builder page,Go to /dashboard/website-builder,Builder interface loads,,Medium,,,
17.2,Website Builder,Select template,Choose a template for the trade,Template preview loads,,Medium,,,
17.3,Website Builder,Customize content,"Edit business name, services, contact info",Changes reflected in preview,,Medium,,,
17.4,Website Builder,Mobile preview,Preview site in mobile view,Site is responsive and usable,,Medium,,,
17.5,Website Builder,Booking widget,Check if booking widget is embedded,Customers can book from website,,High,,,
17.6,Website Builder,Lead capture form,Submit a lead form on the website,Lead appears in dashboard,,High,,,
17.7,Website Builder,Save/publish site,Save and publish the website,Site accessible via URL,,High,,,
,,,,,,,,,
18.1,Route Optimizer & Dispatch,Dispatch board,Go to /dashboard/dispatch,Dispatch view loads with today's jobs,,High,,,
18.2,Route Optimizer & Dispatch,View crew locations,Check worker locations on map,Workers' GPS positions shown,,Medium,,,
18.3,Route Optimizer & Dispatch,Route optimizer,Go to /dashboard/route-optimizer,Route planning interface loads,,Medium,,,
18.4,Route Optimizer & Dispatch,Optimize routes,Enter multiple job addresses,Optimized route order generated,,High,,,
18.5,Route Optimizer & Dispatch,Assign jobs from dispatch,Assign/reassign jobs to workers on dispatch board,Assignments update in real time,,High,,,
18.6,Route Optimizer & Dispatch,Job status on dispatch,Worker updates job status,Dispatch board reflects change,,Medium,,,
,,,,,,,,,
19.1,Settings & Company Profile,Settings page,Go to /dashboard/settings,Settings page loads,,Medium,,,
19.2,Settings & Company Profile,Update company name,"Change company name to ""Saldana & Sons LLC""",Name updates across the platform,,Medium,,,
19.3,Settings & Company Profile,Update company address,Enter/change business address,Address saved,,Medium,,,
19.4,Settings & Company Profile,Update contact info,Change phone number and email,Contact info updates,,Medium,,,
19.5,Settings & Company Profile,Business logo upload,Upload company logo,Logo appears on quotes/invoices,,Medium,,,
19.6,Settings & Company Profile,Service area,Set service area / zip codes,Area saved for booking/dispatch,,Low,,,
19.7,Settings & Company Profile,Tax rate settings,Verify California tax rate is applied,Correct tax on quotes/invoices,,High,,,
19.8,Settings & Company Profile,Notification preferences,Toggle email/SMS notifications,Preferences saved and applied,,Medium,,,
,,,,,,,,,
20.1,Notifications & Communications,Email delivery,Send a quote via email,Customer receives the email,,Critical,,,
20.2,Notifications & Communications,SMS delivery,Send review request via SMS,Customer receives the SMS,,Critical,,,
20.3,Notifications & Communications,Welcome email,Invite a new team member,Welcome email received by new member,,High,,,
20.4,Notifications & Communications,Quote approval notification,Customer approves a quote,Saldana & Sons team notified,,High,,,
20.5,Notifications & Communications,Payment notification,Customer pays an invoice,Payment confirmation received,,High,,,
20.6,Notifications & Communications,New lead notification,Lead submitted via booking/chatbot,Team notified of new lead,,Medium,,,
,,,,,,,,,
21.1,Public Pages & Free Tools,Homepage,Visit /,Homepage loads with features and pricing,,Medium,,,
21.2,Public Pages & Free Tools,Pricing page,Visit /pricing,"Plans displayed (Starter, Pro, Elite)",,Medium,,,
21.3,Public Pages & Free Tools,Free penalty calculator,Visit /tools/calculator,Calculator works without login,,Medium,,,
21.4,Public Pages & Free Tools,Free worker classification,Visit /tools/classification,ABC test quiz works without login,,Medium,,,
21.5,Public Pages & Free Tools,Free AB5 checklist,Visit /tools/checklist,Checklist loads without login,,Medium,,,
21.6,Public Pages & Free Tools,Free final wage guide,Visit /tools/final-wage,Guide displays without login,,Medium,,,
21.7,Public Pages & Free Tools,Demo pages,Visit /demo/dashboard and other demo routes,Demo content loads without login,,Low,,,
21.8,Public Pages & Free Tools,Public quote view,Open a quote's public link,Quote displays correctly,,High,,,
21.9,Public Pages & Free Tools,Public invoice view,Open an invoice's public link,Invoice displays correctly,,High,,,
21.10,Public Pages & Free Tools,Jenny feature page,Visit /jenny,Jenny AI features showcased,,Low,,,
,,,,,,,,,
22.1,Cross-Browser & Device,Chrome (Desktop),Full workflow in Chrome,All features function correctly,,High,,,
22.2,Cross-Browser & Device,Safari (Desktop),Full workflow in Safari,All features function correctly,,Medium,,,
22.3,Cross-Browser & Device,Firefox (Desktop),Full workflow in Firefox,All features function correctly,,Medium,,,
22.4,Cross-Browser & Device,Edge (Desktop),Full workflow in Edge,All features function correctly,,Low,,,
22.5,Cross-Browser & Device,iOS Safari (iPhone),Test worker app and dashboard on iPhone,"Mobile-optimized, all features usable",,High,,,
22.6,Cross-Browser & Device,Android Chrome (Phone),Test worker app and dashboard on Android,"Mobile-optimized, all features usable",,High,,,
22.7,Cross-Browser & Device,iPad / Tablet,Test dashboard on tablet,"Responsive layout, no broken elements",,Medium,,,
22.8,Cross-Browser & Device,Slow network (3G),"Throttle connection, test key flows","Pages load (slower), no crashes",,Medium,,,
,,,,,,,,,
23.1,Performance & Reliability,Page load speed,Navigate between main pages,Pages load without excessive delay,,Medium,,,
23.2,Performance & Reliability,Large data sets,"Add 50+ jobs, check list performance","Lists render smoothly, pagination works",,Medium,,,
23.3,Performance & Reliability,Concurrent users,Multiple Saldana & Sons workers logged in,"No data conflicts, real-time sync works",,High,,,
23.4,Performance & Reliability,Data persistence,"Create records, log out, log back in",All data preserved,,Critical,,,
23.5,Performance & Reliability,Error handling,"Trigger errors (bad input, network loss)","User-friendly error messages, no crashes",,Medium,,,
23.6,Performance & Reliability,Form validation,Submit forms with missing required fields,Validation errors shown before submission,,Medium,,,
23.7,Performance & Reliability,Image upload limits,Upload very large photos,Handled gracefully (resized or error message),,Low,,,
,,,,,,,,,
24.1,Security & Access Control,Multi-tenant isolation,"Login as Saldana & Sons, check for other company data",Only Saldana & Sons data visible,,Critical,,,
24.2,Security & Access Control,Direct URL access,Try accessing another company's job by ID in URL,Access denied or 404,,Critical,,,
24.3,Security & Access Control,Worker role restrictions,"Login as Worker, try admin actions",Admin features blocked/hidden,,Critical,,,
24.4,Security & Access Control,Admin role access,"Login as Admin, verify access",Can manage data but not billing,,High,,,
24.5,Security & Access Control,Owner full access,Login as Owner,All features accessible,,High,,,
24.6,Security & Access Control,Unauthenticated access,Visit /dashboard without login,Redirected to login page,,Critical,,,
24.7,Security & Access Control,API protection,Call API endpoints without auth token,401/403 response,,High,,,
24.8,Security & Access Control,SQL injection,"Enter '; DROP TABLE --' in form fields","Input sanitized, no database impact",,High,,,
24.9,Security & Access Control,XSS prevention,"Enter <script>alert('xss')</script> in text fields","Script not executed, input sanitized",,High,,,
